รหัสสินค้า,ชื่อสินค้า,  ราคา  
608,AMK 457mg 70ml (ก.1ขวด), 143.50 
4332,AMK 625mg 1x10s (ก.1แผง), 79.00 
608/4,AMK ES-600 100ml (ก.1ขวด), 499.75 
608/2,AMK ES-600 70ml (ก.1ขวด), 343.00 
3715,AMLOPINE 10mg 10x10s มีโปรซื้อเยอะ (ก.10แผง), 207.00 
3714,AMLOPINE 5mg 10x10s (ก.10แผง), 155.00 
07954/1,AMLOVASC 5 mg 50x10s (ก.50แผง), 446.00 
46,AMMELTZ HEAT PATCH 95x130mm แผ่นแปะ (ซอง) (ซอง), 20.50 
50,AMMELTZ YOKO YOKO 48ml (ก.1ขวด), 92.00 
51,AMMELTZ YOKO YOKO 82ml (ก.1ขวด), 134.00 
50/2,AMMELTZ แผ่นแปะ Period pain 95x130mm 45บ แอมเมล็ท (ซอง) (ซอง), 21.75 
50/4,AMMELTZ แผ่นแปะ Shoulder pain 95x260mm 55บ (กล่อง10ซอง) แอมเมล็ท (ซอง) (ซอง), 27.75 
50/3,AMMELTZ แผ่นแปะ ปวดหลัง Back pain 95x260mm 55บ (กล่อง10แผ่น) แอมเมล็ท (แผ่น) รหัส 50/3 (ซอง), 27.75 
3806,AMMONIA SAHAKARN 450ml (ขวด), 84.50 
903500/2,A.M.MOX 500mg 50x10s (เม็ดฟ้า-เทา) (ก.50แผง), 464.00 
514/1,AMOGIN EFFE สูตรENO รสส้ม 4.3gx5ซอง เอฟเฟ (ก.5ซอง), 36.25 
353,AMOGIN-GEL 240ml (ขวด), 35.50 
353/1,AMOGIN-GEL 30ซองx15ml (ก.30ซอง), 104.00 
352,AMOGIN-GEL 450ml (ขวด), 53.00 
