ชื่อสินค้า,ราคา
ยาแก้ไอน้ำดำ ตรางู 120 ml,ราคา 27.00 บาท
ยาแก้ไอ LP น้ำดำ ตราเสือดาว 120 ml,ราคา 23.00 บาท
ยาน้ำไอมะแว้งน้ำเชื่อม อ้วยอันโอสถ 60 ml,ราคา 26.00 บาท
BOWA GEL 240 ml (TNP),ราคา 34.00 บาท
B GAS 240 ml,ราคา 50.50 บาท
ยาไม่ต้องอยู่ไฟ ตราพารา,ราคา 57.00 บาท
ยาขับน้ำคาวปลา ตราพารา,ราคา 57.00 บาท
BROMHEXINE Elixir 60 ml (PATAR),ราคา 13.00 บาท
BRONCET EXPECTORANT 60 ml (TNP),ราคา 24.00 บาท
BECONASE NASAL Spray 200 sprays (GSK),ราคา 207.00 บาท
BACTEDENE Cream 10 g,ราคา 20.75 บาท
สำลีม้วน ตรารถพยาบาล 80 g,ราคา 26.50 บาท
สำลีม้วน ตรารถพยาบาล 200 g,ราคา 51.00 บาท
COUNTERPAIN PLUS 50 g (TAISHO),ราคา 206.00 บาท
DILATREND 6.25 mg (10X10's),ราคา 215.00 บาท
DUPHALAC 1000 ml (Abbott),ราคา 990.00 บาท
DUTROSS 10's (TNP),ราคา 17.00 บาท
DERMAHEU Cream 5 g (TNP),ราคา 30.00 บาท
DERMAHEU Cream 15 g (TNP),ราคา 60.00 บาท
DIOXZYE DROP 15 ml (TNP),ราคา 41.00 บาท
UE COF อม ยู อี คอฟ มะขามป้อม (20X20's),ราคา 425.00 บาท
FISHERMAN SUGAR FREE แมนดาริน 24X25g,ราคา 28.00 บาท
FITNE ชาชงสมุนไพร กลิ่นชาเขียว 30X70.5g/ห่อ,ราคา 128.00 บาท
ถ้วยทองโอสถ ยาหม่องถ้วยทอง ตลับ 2 g,ราคา 68.00 บาท
ถ้วยทองโอสถ ยาหม่องถ้วยทอง ตลับ 4 g,ราคา 130.00 บาท
ถ้วยทองโอสถ ยาหม่องถ้วยทอง ตลับ 8 g,ราคา 216.00 บาท
ถ้วยทองโอสถ ยาหม่องถ้วยทอง 22 g,ราคา 40.50 บาท
BETADINE THROAT Spray เบตาดีน โทรตสเปรย์ 25 ml,ราคา 265.00 บาท
KAL-CEE Effervescent รสองุ่น 10's (BLHUA),ราคา 45.50 บาท
KELA Cream 15 g (TO),ราคา 32.00 บาท
KANOLONE ORAL Paste 5 g (LBS),ราคา 22.50 บาท
KANOLONE Lotion 30 ml (LBS),ราคา 18.75 บาท
KANOLONE Lotion 60 ml (LBS),ราคา 31.50 บาท
KELA Lotion 60 ml (TO),ราคา 37.00 บาท
บริษัท วรมิตร ดรัก เซ็นเตอร์ จำกัด,
ติดต่อเราได้ที่,
KOOLFEVER Adults 6 แผ่น/กล่อง,ราคา 78.00 บาท
ยาหม่องขาว ตราลิงถือลูกท้อ 12X2g/โหล,ราคา 68.00 บาท
ยาหม่องขาว ตราลิงถือลูกท้อ 12X4g/โหล,ราคา 132.00 บาท
ยาหม่องขาว ตราลิงถือลูกท้อ 12X8g/โหล,ราคา 217.00 บาท
ยาหม่องขาว ตราลิงถือลูกท้อ 12X12g/โหล,ราคา 270.00 บาท
NEOTICA 20 mg 1X10's (TNP),ราคา 16.00 บาท
SARA 500 mg เม็ดกลม 100's (TNP),ราคา 110.00 บาท
ยาอุทัยหมอมี 60 ml สูตร 2,ราคา 34.00 บาท
ยาอมมะแว้ง รสบ๊วย (20X20's),ราคา 118.00 บาท
DIABENOL 5 mg 10X10's (GREATER),ราคา 68.00 บาท
ยาสตรี กิมโกยทิซิ่ว อ้วยอันโอสถ,ราคา 125.00 บาท
ว่านชักมดลูกจอมใจ 300 ml,ราคา 152.00 บาท
ยากุมารแสงชัย ผสมน้ำผึ้ง 180 ml,ราคา 26.00 บาท
ยากุมารแสงชัย ผสมน้ำผึ้ง 360 ml,ราคา 44.50 บาท
FITNE ยาแคปซูลสมุนไพร 40's,ราคา 160.00 บาท
ยาแก้ไอ ตราคีมเหล็ก,ราคา 26.50 บาท
ซอฟเฟล โลชั่นกันยุง กลิ่นฟลอร่า 60 ml,ราคา 45.50 บาท
ซอฟเฟล โลชั่นกันยุง กลิ่นเฟรช 60 ml,ราคา 45.50 บาท
GASPEC-S 240 ml,ราคา 38.00 บาท
GASPEC Suspension 1000 ml,ราคา 96.00 บาท
ขับลม ตราคีมเหล็ก 240 ml,ราคา 33.50 บาท
GASTRO BISMOL 240 ml (Farmaline),ราคา 102.00 บาท
BUFENAC FORTE 500's (BURAPHA),ราคา 185.00 บาท
RHINOTAPP Syrup 60 ml (NL),ราคา 19.50 บาท
ASIATAPP Elixer 60 ml (ASIAN),ราคา 18.00 บาท
ASIATAPP INFANT Drops 15 ml (ASIAN),ราคา 21.00 บาท
TONY Lotion 30ml (P.D),ราคา 17.50 บาท
TONY Lotion 60 ml (P.D),ราคา 29.00 บาท
AMOXIL DRY Syrup (250mg/5ml) GSK,ราคา 90.00 บาท
UNIREN Spray 60 ml (UNISON),ราคา 125.00 บาท
TIMI Cream 5 g (SPS),ราคา 16.50 บาท
TIMI Cream 15 g (SPS),ราคา 37.50 บาท
NAPPY-HIPPO Cream 5 g (SPS),ราคา 13.50 บาท
NAPPY-HIPPO Cream 25 g (SPS),ราคา 31.50 บาท
ZIGA Gel 240 ml (BERICH),ราคา 54.00 บาท
TRAM 0.1% Cream 5 g (TNP),ราคา 19.75 บาท
TRAM 0.02% Cream 5 g (TNP),ราคา 17.75 บาท
สลิมมิ่ง ชาชงสมุนไพร,ราคา 84.00 บาท
NEXCARE OPTICLUDE (5.7x8.25cm) 20 ชิ้น/กล่อง 3M,ราคา 135.00 บาท
NEXCARE OPTICLUDE (6.35x4.75cm) 20 ชิ้น/กล่อง 3M,ราคา 102.00 บาท
บริษัท วรมิตร ดรัก เซ็นเตอร์ จำกัด,
ติดต่อเราได้ที่,
ยาหอมฤาษีทรงม้า เบอร์ 3,ราคา 9.50 บาท
ยาหอมตราเด็กในพานทอง 8 g,ราคา 9.50 บาท
ยาหอมตราเด็กในพานทอง 17 g,ราคา 17.00 บาท
ยาหอมตราเด็กในพานทอง 37 g,ราคา 26.00 บาท
FUNGIDERM-K 200 mg 10X10's/กล่อง (GREATER),ราคา 185.00 บาท
FENAFEX 60 mg 1X10's (SPS),ราคา 26.00 บาท
DIFFERIN (0.1%) 15 g,ราคา 377.00 บาท
BENZAC AC (5%) 15 g,ราคา 118.00 บาท
BENZAC AC (5%) 60 g,ราคา 285.00 บาท
DIFFLAM MINT FRESH SUGAR FREE Lozenge 16's,ราคา 154.00 บาท
BETAGEN Cream 5 g (TNP),ราคา 24.50 บาท
BETAGEN Cream 15 g (TNP),ราคา 44.00 บาท
ครีมพญายอ 5 g,ราคา 50.00 บาท
MUCOLID JUNIOR รสบลูเบอร์รี่ 60 ml (GREATER),ราคา 28.75 บาท
MUCOLID JUNIOR รสสตรอเบอร์รี่ 60 ml (GREATER),ราคา 28.75 บาท
T.V.LONE Lotion 30 ml (T.MAN),ราคา 16.50 บาท
DORMIRAX 25 mg 10X10's (BURAPHA),ราคา 125.00 บาท
FUNGIDERM Vaginal Tablet 500 mg 1's (GREATER),ราคา 32.00 บาท
FUNGIDERM Vaginal Tablets 100 mg 6's (GREATER),ราคา 37.00 บาท
ORANO (50X10's),ราคา 10.00 บาท
HEROID 500 mg (3X10's),ราคา 0.00 บาท
CINTAR TABLETS 10X10's (PATAR),ราคา 40.00 บาท
BOTIDINE 10 mg 10X10's (PATAR),ราคา 55.00 บาท
PARACETAMOL 500 mg 100's (BURAPHA),ราคา 33.00 บาท
ถ้วยทองโอสถ CPM 4 mg 10X100's/แพ็ก,ราคา 72.00 บาท
FELGESIC Gel 30 g,ราคา 26.00 บาท
PHOEBUS Cream 5 g,ราคา 31.50 บาท
PHOEBUS Cream 15 g,ราคา 57.00 บาท
MIZONE-BE Cream 15 g,ราคา 26.50 บาท
TANOCS Solution 15 ml,ราคา 18.25 บาท
MYOXAN 50X10's (TO),ราคา 6.50 บาท
KELA Cream 450 g (TO),ราคา 238.00 บาท
VIOLIN 2 mg 1000's (TO),ราคา 140.00 บาท
AMILOZIDE 500's (TO),ราคา 216.00 บาท
NINAZOL 200 mg 100's (TO),ราคา 135.00 บาท
CLOXA T.O. DRY FORTE (250mg/5ml) 60 ml TO,ราคา 24.00 บาท
T.V.MOX DRY Syrup 125 mg กลิ่นส้ม 60 ml (T.MAN),ราคา 16.00 บาท
เกลือแร่ ตองเค TONK-KKK รสส้ม 25 ซอง/กล่อง,ราคา 75.00 บาท
ORKELAX 1000's,ราคา 835.00 บาท
SODAMINT 1000's (FRX),ราคา 100.00 บาท
บริษัท วรมิตร ดรัก เซ็นเตอร์ จำกัด,
ติดต่อเราได้ที่,
ถ้วยทองโอสถ SODA MINT 1000's,ราคา 64.00 บาท
DOLOGEN 500's,ราคา 755.00 บาท
CLOTHASONE Cream 5 g,ราคา 21.00 บาท
CLOTHASONE Cream 15 g,ราคา 42.00 บาท
MYDA-B Cream 25 g (T.MAN),ราคา 54.50 บาท
CHLORAHIS Syrup 60 ml (BURAPHA),ราคา 13.50 บาท
NIPRO หัวเข็ม 18G x 1 inch 100 ชิ้น/กล่อง,ราคา 54.00 บาท
NIPRO หัวเข็ม 20G x 1 inch 100 ชิ้น/กล่อง,ราคา 54.00 บาท
NIPRO หัวเข็ม 21G x 1 inch 100 ชิ้น/กล่อง,ราคา 54.00 บาท
NIPRO หัวเข็ม 22G x 1 inch 100 ชิ้น/กล่อง,ราคา 54.00 บาท
NIPRO หัวเข็ม 23G x 1 inch 100 ชิ้น/กล่อง,ราคา 54.00 บาท
NIPRO หัวเข็ม 24G x 1 inch 100 ชิ้น/กล่อง,ราคา 54.00 บาท
NIPRO หัวเข็ม 25G x 1 inch 100 ชิ้น/กล่อง,ราคา 54.00 บาท
NIPRO หัวเข็ม 26G x 1 inch 100 ชิ้น/กล่อง,ราคา 54.00 บาท
NIPRO หัวเข็ม 27G x 1 inch 100 ชิ้น/กล่อง,ราคา 54.00 บาท
PIRIDENE 20 mg 1000's,ราคา 470.00 บาท
GYNOGENA 500 mg 1X4's (BERICH),ราคา 24.00 บาท
EXTOVON 1000's (CBLAB),ราคา 90.00 บาท
ULSAMET 400 mg 500's (BURAPHA),ราคา 615.00 บาท
BEROCCA PERFORMANCE 15's กลิ่นส้ม (BAYER),ราคา 172.00 บาท
ROWACHOL (10X10's),ราคา 448.00 บาท
INDOMETHACIN 1000's (PATAR),ราคา 320.00 บาท
PATARGESIC 500's,ราคา 218.00 บาท
MYOSPA 500's (BLHUA),ราคา 352.00 บาท
CYPROHEPTADINE 4 mg 1000's (T.MAN),ราคา 118.00 บาท
MEFAMIC 250 mg 500's (PATAR),ราคา 235.00 บาท
3B VITAMIN B1-6-12 บรรจุ 1000's (PATAR),ราคา 325.00 บาท
ZEE 500 mg 100's (PATAR),ราคา 124.00 บาท
เยนเชียนไวโอเลต 30 ml (วิทยาศรม),ราคา 9.50 บาท
ยาแก้ไอน้ำดำ 60 ml (GPO),ราคา 23.50 บาท
PATARDIUM 50X10's (PATAR),ราคา 140.00 บาท
นิจิดีส์ ครีม ตลับเขียว,ราคา 33.50 บาท
BANNER GOLD PLUS MULTIVITAMINS+ZINC 30's,ราคา 234.00 บาท
ยาหม่องเสลดพังพอน สูตร 2 ตราวังพรม 50 g,ราคา 56.00 บาท
ยาหม่องผสมไพลสด สูตร 2 ตราวังพรม 50 g,ราคา 56.00 บาท
น้ำมันโอสถทิพย์ วัดโพธิ์,ราคา 44.00 บาท
ยาหอมวัดโพธิ์ ฝาดำ,ราคา 26.50 บาท
ลูกประคบ สมุนไพร,ราคา 72.00 บาท
COFFEE PLUS เนเจอร์กิฟ 10 ซอง/กล่อง,ราคา 99.00 บาท
LEVOMET 25/250 (10X10's),ราคา 61.50 บาท
บริษัท วรมิตร ดรัก เซ็นเตอร์ จำกัด,
ติดต่อเราได้ที่,
LEVOMET 25/100 (10X10's),ราคา 53.00 บาท
เยนเชียนไวโอเลต 450 ml (วิทยาศรม),ราคา 64.00 บาท
TINCTURE IODINE 450 ml (วิทยาศรม),ราคา 135.00 บาท
มหาหิงคุ์ 450 ml (วิทยาศรม),ราคา 100.00 บาท
น้ำมันละหุ่งหวาน 450 ml (วิทยาศรม),ราคา 145.00 บาท
ยาสีฟันตำรับโบราณ วิเศษนิยม แพ็ก 10 ซอง,ราคา 110.00 บาท
ยาสีฟัน รุ่งอรุณ 12 ซอง/โหล,ราคา 125.00 บาท
สำลีก้อน 0.50 กรัม ตรารถพยาบาล 40 g,ราคา 14.50 บาท
PREGNANCY TEST VM ชุดตรวจสอบการตั้งครรภ์ ชนิดหยด 1 ชุด/กล่อง,ราคา 18.00 บาท
OREDA R.O. ORS ออรีด้า รสส้ม 50X16.5g/กล่อง (BLHUA),ราคา 240.00 บาท
METFORMIN 500 mg 50X10's (GPO),ราคา 6.50 บาท
SMOOTH E GOLD MIRACLE Capsules 12's,ราคา 335.00 บาท
EZETROL 10 mg 30's (MSD),"ราคา 1,410.00 บาท"
AMINOPHYLINE 1000's (ATC),ราคา 445.00 บาท
APRACUR NC 25X6's (BIOPHARM),ราคา 182.00 บาท
DAONIL 5 mg 10X10's (SANOFI),ราคา 312.00 บาท
ผงพิเศษ ตราร่มชูชีพ 1 กล่อง 36 ซอง,ราคา 345.00 บาท
ZAM BUK 8 g (BAYER),ราคา 23.50 บาท
XANDASE 100 mg (50X10's),ราคา 9.80 บาท
"VITAMIN A 25,000 IU 100's (PATAR)",ราคา 49.00 บาท
COTTON BUD สำลีก้าน ตรารถพยาบาล 100 ก้าน/ห่อ,ราคา 14.50 บาท
HYDROCHLOROTHIAZIDE HCTZ 50 mg 1000's (TO),ราคา 195.00 บาท
OREDA R.O. ORS ออรีด้า รสส้ม 100X3.3g/กล่อง (BLHUA),ราคา 160.00 บาท
POLKA Cream 25 g,ราคา 41.50 บาท
ALDA Suspension 10 ml (TNP),ราคา 20.00 บาท
R-DEN 1X28's (TNP),ราคา 27.50 บาท
ด่างทับทิม แสงสว่าง 12X10g/โหล,ราคา 108.00 บาท
NORFLOXIN 400 mg 500's (TO),ราคา 515.00 บาท
ChlorOph EYE Ointment 5 g,ราคา 30.50 บาท
FLORA PLUS ยาสตรีฟลอร่า 450 ml,ราคา 160.00 บาท
KAL-G 150 g,ราคา 498.00 บาท
ใบมะขามแขก อ้วยอันโอสถ 100's,ราคา 61.00 บาท
พริกไทย อ้วยอันโอสถ 100's,ราคา 94.00 บาท
ว่านชักมดลูก อ้วยอันโอสถ 100's,ราคา 103.00 บาท
เถาเอ็นอ่อน อ้วยอันโอสถ 100's,ราคา 93.00 บาท
บอระเพ็ด อ้วยอันโอสถ 100's,ราคา 90.50 บาท
SERMION 30 mg 30's,ราคา 734.00 บาท
VISTRA COLLAGEN TRIPEPTIDE 10000 mg กลิ่นสตรอเบอร์รี่ 10 ซอง/กล่อง,ราคา 520.00 บาท
ตะขาบ 5 ตัว ยาอมแก้ไอ รสมิ้นท์,ราคา 27.00 บาท
บริษัท วรมิตร ดรัก เซ็นเตอร์ จำกัด,
ติดต่อเราได้ที่,
ตะขาบ 5 ตัว ยาอมแก้ไอ รสบ๊วย,ราคา 27.00 บาท
ตะขาบ 5 ตัว ยาอมแก้ไอ รสตะไคร้,ราคา 27.00 บาท
ปิโตรเลียม เจลลี่ 50 g (MEDMAKER),ราคา 34.50 บาท
FUNGINOX Solution 25 ml,ราคา 141.00 บาท
EUTHYROX 100 mcg 4X25's (MERCK),ราคา 164.00 บาท
EUTHYROX 50 mcg 4X25's (MERCK),ราคา 164.00 บาท
STERILE EYE PADS 25 ชิ้น/กล่อง (Pharmahof),ราคา 120.00 บาท
MEGA VITAMIN E 100 IU 100's,ราคา 207.00 บาท
MEGA VITAMIN E 200 IU 60's,ราคา 207.00 บาท
MEGA VITAMIN E 400 IU 30's,ราคา 207.00 บาท
ขมิ้นผงแสงชัย 100 ซอง/กล่อง,ราคา 4.20 บาท
DICLOXA RX 500 mg 25X10's (RX),ราคา 22.00 บาท
CANASONE C.B. Cream 5 g (TNP),ราคา 22.00 บาท
CANASONE C.B. Cream 15 g (TNP),ราคา 47.50 บาท
CANASONE Cream 5 g (TNP),ราคา 22.50 บาท
CANASONE Cream 10 g (TNP),ราคา 42.00 บาท
TAUGLICOLO 10X10's (SIAM),ราคา 135.00 บาท
MANMOX DRY Syrup 250 mg กลิ่นส้ม 60 ml (T.MAN),ราคา 27.00 บาท
MANMOX DRY Syrup 250 mg กลิ่นองุ่น 60 ml (T.MAN),ราคา 28.00 บาท
CARDURA XL 4 mg 3X10's (VIATRIS),ราคา 684.00 บาท
TRAM Lotion 30 ml (TNP),ราคา 23.00 บาท
เซโรงัง 50's,ราคา 86.00 บาท
เซโรงัง 100 เม็ด,ราคา 210.00 บาท
BRONPECT-D (50X10's),ราคา 12.00 บาท
TRAVATAN EYE Drops 2.5 ml,ราคา 593.00 บาท
TABLET CUTTER ที่ตัดยา,ราคา 56.00 บาท
ขมิ้นผงแท้ ตราโพธิ์แก้ว 400 g,ราคา 66.50 บาท
ยาประสระน้ำนม สูตร 2 ตราพารา 25's/ซอง,ราคา 42.00 บาท
วอล์คเกอร์ 4 ขา หัดเดิน (Canton),ราคา 360.00 บาท
ไม้เท้า 3 ขา ปรับได้ (Canton),ราคา 280.00 บาท
ไม้เท้า 4 ขา ปรับได้ (Canton),ราคา 280.00 บาท
ไม้เท้าก้านร่ม หัวโค้ง ปรับได้ (Canton),ราคา 105.00 บาท
ไม้เท้าค้ำยัน 48 นิ้ว แบบไม้ No.M (Canton),ราคา 240.00 บาท
ไม้เท้าค้ำยัน 50 นิ้ว แบบไม้ No.L (Canton),ราคา 240.00 บาท
ไม้พันสำลี Size L 100 ก้าน/ห่อ (Canton),ราคา 17.00 บาท
ไม้พันสำลี Size M 100 ก้าน/ห่อ (Canton),ราคา 17.00 บาท
ไม้พันสำลี Size S 100 ก้าน/ห่อ (Canton),ราคา 18.00 บาท
SYRINGE แก้ว 2 ml,ราคา 28.00 บาท
SYRINGE แก้ว 5 ml,ราคา 33.50 บาท
GENTA-BETASONE Cream 15 g,ราคา 47.50 บาท
บริษัท วรมิตร ดรัก เซ็นเตอร์ จำกัด,
ติดต่อเราได้ที่,
GENTA-BETASONE Cream 5 g,ราคา 19.00 บาท
NICORETTE Coolmint Gum 2 mg 105's/กล่อง,ราคา 715.00 บาท
MEIACT 100 mg 10X10's (Meiji),ราคา 290.00 บาท
FLUIFORT Syrup 120 ml,ราคา 188.00 บาท
DEWAX EAR Drops 15 ml,ราคา 53.00 บาท
DURAN 400 mg 10's (TNP),ราคา 20.00 บาท
CEE 1000 mg 100's (T.MAN),ราคา 183.00 บาท
ยาหอมเทพจิตร ตราห้าม้า 24 หลอด/กล่อง,ราคา 385.00 บาท
CLINDALIN Gel 5g,ราคา 35.50 บาท
HYDROGEN 60 ml (วิทยาศรม),ราคา 10.00 บาท
ChlorOph EYE Drops 5 ml,ราคา 27.50 บาท
ยาหอม ตรา 5 เจดีย์ ชนิดซอง 12X3g/โหล,ราคา 38.00 บาท
VITAMIN B1-6-12 บรรจุ 100's (GPO),ราคา 62.00 บาท
TEARS NATURALE FREE EYE Drops 32X0.03/กล่อง (Alcon),ราคา 315.00 บาท
ชิกหลีซั้ว แป๊ะเลี้ยง 10 ห่อ/กล่อง,ราคา 340.00 บาท
RENU 355 ml (B&L),ราคา 158.50 บาท
NEODEX Cream 450 g (OSi),ราคา 260.00 บาท
CIPROXYL 500 mg 10X10's (Farmaline),ราคา 218.00 บาท
GENTAL-F Cream 15 g,ราคา 37.00 บาท
FORLAX Powder 10 mg 20 ซอง (PACIFIC),ราคา 268.00 บาท
GASTRO BISMOL 524 mg 20X10's (Farmaline),ราคา 45.00 บาท
PATARVIT Syrup 120 ml (PATAR),ราคา 24.00 บาท
TRUSOPT Ophthalmic Solution 5 ml,ราคา 555.00 บาท
VIVIT 50X10's (PATAR),ราคา 17.00 บาท
THROATSIL รสน้ำผึ้งมะนาว (24X8's),ราคา 14.00 บาท
THROATSIL รสส้มผสมวิตามินซี (24X8's),ราคา 14.00 บาท
BETA-DIPO Cream 5 g (TNP),ราคา 22.50 บาท
BETA-DIPO 15 g (TNP),ราคา 40.00 บาท
MIFORMIN 500 mg 50X10's (GREATER),ราคา 6.50 บาท
เกลือแร่ รอแยลดี ROYAL-D 50X25g/กล่อง,ราคา 162.00 บาท
CEFSPAN Suspension 30 ml,ราคา 215.00 บาท
CEFSPAN 100 mg (10X10's),ราคา 232.00 บาท
CIPROBAY 500 mg 3X10's (BAYER),"ราคา 1,930.00 บาท"
COAPROVEL (150mg/12.5mg) 28's SANOFI,ราคา 755.00 บาท
APROVEL 300 mg 28's (SANOFI),ราคา 825.00 บาท
ALLERAX-FC 1000's (BKD),ราคา 178.00 บาท
CELEBREX 400 mg 10's (VIATRIS),ราคา 408.50 บาท
IMIGRAN 50 mg 2's (GSK),ราคา 257.00 บาท
SATOGESIC Gel 35 g,ราคา 172.00 บาท
FELOTEN 5 mg 3X10's (BIOLAB),ราคา 225.00 บาท
บริษัท วรมิตร ดรัก เซ็นเตอร์ จำกัด,
ติดต่อเราได้ที่,
EUCOR 10 mg 3X10's (GREATER),ราคา 50.00 บาท
ORMIST Syrup 60 ml (TNP),ราคา 32.00 บาท
IZE JELLI BALM,ราคา 194.00 บาท
LIPS CARE ลิปส์แคร์ 2 โหล/กล่อง,ราคา 163.00 บาท
เอ็ม16 ยาแก้ปวดฟัน 3 ml/ขวด M16 (PATAR),ราคา 16.75 บาท
CLARID 10X10's/แพ็ก,ราคา 130.00 บาท
DIPAZIDE 5 mg 10X10's (SIAM),ราคา 135.00 บาท
CRESTOR 20 mg 2X14's (Astrazeneca),"ราคา 1,625.00 บาท"
CRESTOR 10 mg 2X14's (Astrazeneca),"ราคา 1,065.00 บาท"
GLUCOSA 500 mg 10X10's (BKD),ราคา 268.00 บาท
รางจืด อ้วยอันโอสถ 100's,ราคา 104.00 บาท
EUCOR 20 mg 3X10's (GREATER),ราคา 96.00 บาท
เซนลุกซ์ น้ำมันนวดตรางู 60 ml,ราคา 34.00 บาท
THERMA PLAST เทอร์มา พลาสท์ แผ่นประคบร้อน 5 ชิ้น/กล่อง,ราคา 135.00 บาท
LIPITOR 40 mg 3X10's (VIATRIS),"เหลือ 2,120.00 บาท"
NORA Shampoo 100 ml (TNP),ราคา 132.00 บาท
D-COATE 50X10's (BLHUA),ราคา 12.00 บาท
ท่อออกซิเจน ขนาด 1.5 คิว,"ราคา 2,250.00 บาท"
JAPROLOX 60 mg (2X10's),ราคา 140.00 บาท
ORFARIN 3 mg 100's,ราคา 430.00 บาท
ORFARIN 5 mg 100's,ราคา 560.00 บาท
CARDOXA 2 mg 10X10's (SPS),ราคา 10.00 บาท
AMK 1000 mg 1X10's (RX),เหลือ 97.00 บาท
ARACAF Syrup 60 ml (TNP),ราคา 23.00 บาท
NEXCARE COBAN (1 inch x 5 yds) 1 ม้วน/กล่อง 3M,ราคา 32.50 บาท
ยาหอมตราเด็กในพานทอง 12 ซอง/โหล,ราคา 46.00 บาท
ZEMA Lotion 15 ml,ราคา 19.00 บาท
DAFOMIN 500 mg 3X10's (TO),ราคา 126.50 บาท
NATEAR EYE Drops 10 ml (TEVA),ราคา 85.50 บาท
OPTI-FREE REWETTING Drops 10 ml (Alcon),ราคา 112.00 บาท
THYROSIT 100 mcg 50X10's (SPS),ราคา 5.20 บาท
BETOSONE-EN Cream 450 g (TO),ราคา 310.00 บาท
SORIDE 300 mg 250's (Pharmahof),ราคา 114.00 บาท
FUNGIDERM-K Shampoo 50 ml (GREATER),ราคา 42.00 บาท
FATEC 10 mg 10X10's (Pharmahof),ราคา 110.00 บาท
B.O.CAL 60's (NCR),ราคา 158.00 บาท
FUNGIDERM-K Shampoo 100 ml (GREATER),ราคา 74.00 บาท
PENCOR 4 mg (10X10's),ราคา 30.00 บาท
MELCAM 7.5 mg (10X10's),ราคา 35.00 บาท
STANDARD BACK SUPPORT No.S อุปกรณ์พยุงหลัง (STD),ราคา 375.00 บาท
บริษัท วรมิตร ดรัก เซ็นเตอร์ จำกัด,
ติดต่อเราได้ที่,
STANDARD BACK SUPPORT No.M อุปกรณ์พยุงหลัง (STD),ราคา 375.00 บาท
STANDARD BACK SUPPORT No.L อุปกรณ์พยุงหลัง (STD),ราคา 375.00 บาท
PROPYL 50 mg 50X10's (SPS),ราคา 7.00 บาท
COXIUM 1500 mg 30's (Millimed),ราคา 350.00 บาท
SCOTT's COD LIVER OIL Emulsion รสส้ม 200 ml (GSK),ราคา 89.00 บาท
MANTIL 2 mg 50X10's (T.MAN),ราคา 125.00 บาท
INNO FIX (10 cm x 1 m) 1 ม้วน/กล่อง,ราคา 20.50 บาท
SINGULAIR 5 mg 28's,ราคา 752.00 บาท
DUREX เพอร์ฟอร์มา 3 ชิ้น/กล่อง,ราคา 67.50 บาท
BETAMED Solution 450 ml (Medicpharma),ราคา 143.00 บาท
ผงเป่าคอ ตราไก่ดำ ชนิดพ่น 5 g/หลอด,ราคา 26.00 บาท
FIBRIL 160 mg 30's (BERLIN),ราคา 178.00 บาท
MEBO Cream 40 g,ราคา 285.00 บาท
NICOMILD 2 mg 7X9's (Millimed),ราคา 242.00 บาท
ARTRODAR 50 mg 3X10's (TRB),ราคา 480.00 บาท
B.M. BABY COUGH Syrup 60 ml (BMP),ราคา 27.00 บาท
ROXITOP 300 mg 10X10's (Farmaline),ราคา 315.00 บาท
SYRINGE BALL (No.4) 90 ml,ราคา 53.00 บาท
ยาดมส้มมือจรุงจิต สีทอง,ราคา 47.00 บาท
ยาดมส้มมือจรุงจิต สีเงิน,ราคา 43.00 บาท
VASTAREL MR 35 mg 60's,ราคา 515.00 บาท
PATAR-COM 100's (PATAR),ราคา 27.50 บาท
AMK 625 mg 10's (RX),ราคา 90.00 บาท
X-Y JELLY 50 g เจลหล่อลื่น (PATAR),ราคา 22.50 บาท
CENASIC CR 1000's (CPL),ราคา 450.00 บาท
MEBO Cream 10 g,ราคา 86.50 บาท
FLEXSA 500 mg 30's (MEGA),ราคา 178.00 บาท
AZOPT Ophthalmic Suspension 5 ml,ราคา 488.00 บาท
โกร่งบดยา 7 ซม.,ราคา 30.50 บาท
SINEMET 25/100 (10X10's),ราคา 810.00 บาท
SINEMET 25/250 (10X10's),ราคา 935.00 บาท
ALLERGIS EYE Drops 5 ml (TNP),ราคา 28.50 บาท
CLOTRIDERM V.T. Vaginal Tablet 500 mg 1's (NL),ราคา 15.50 บาท
CLOTRIDERM V.T. Vaginal Tablets 100 mg 6's (NL),ราคา 15.50 บาท
XYZAL 5 mg 1X10's (GSK),ราคา 132.00 บาท
พิมเสนสำลี ตราโป๊ยเซียน,ราคา 215.00 บาท
B.O.S 100's (NCR),ราคา 252.00 บาท
GENTA-OPH EYE Drops 5 ml,ราคา 23.00 บาท
CONCOR 2.5 mg 10X10's (MERCK),ราคา 66.75 บาท
VISTRA COLLAGEN TRIPEPTIDE 10000 mg กลิ่นส้ม 10 ซอง/กล่อง,ราคา 527.50 บาท
บริษัท วรมิตร ดรัก เซ็นเตอร์ จำกัด,
ติดต่อเราได้ที่,
BLACKMORES MARINE COLLAGEN ABSOLUTE 60's,"ราคา 1,445.00 บาท"
COOL BABY PATCH KIDS 6 แผ่น/กล่อง (Nanomed),ราคา 66.00 บาท
MONOLIN SR 60 mg 3X10's (BERLIN),ราคา 205.00 บาท
DACIN-F 150 mg 10X10's (Farmaline),ราคา 24.00 บาท
HYTISONE 1% Cream 5 g (ATC),ราคา 22.50 บาท
EDARBYCLOR (40mg/12.5mg) 28's TAKEDA,ราคา 825.00 บาท
RYTMONORM 150 mg 5X10's (Abbott),ราคา 775.00 บาท
